H2,O2,O,OH,H2O,H,HO2,CO,CO2,HCO,Temperature
7.59435e-14,2.73701,2.02226e-21,1.88604e-21,5.56728e-23,1.74768e-25,2.61897e-21,2.0139e-25,4.53953e-27,1.44832e-50,505.349
1.11877e-51,2.73701,1.51267e-42,1.02616e-75,5.17247e-99,5.3467e-73,5.64894e-70,5.73057e-108,2.3837e-117,1.21299e-180,505.195
2.14906,0.504836,0.471644,0.475618,1.89091,1.16312,1.16201,2.49248,1.36233,1.83969,1064.72
1.66322e-64,2.73701,9.30225e-43,1.26292e-88,2.37248e-114,1.23814e-85,5.8778e-83,3.76976e-123,3.40377e-132,1.95669e-208,503.307
0,2.73701,0,0,0,0,0,0,0,0,506.295
7.04014e-91,2.73701,9.32557e-43,5.30354e-115,1.48818e-160,6.40257e-112,2.28476e-109,1.84833e-172,3.48189e-185,4.21441e-284,503.46
4.36896e-05,2.73701,3.72464e-09,6.82004e-09,2.12452e-09,3.41728e-14,2.25374e-08,1.66927e-10,1.12803e-11,2.33996e-24,503.598
6.27189e-50,2.73701,1.51869e-42,5.99737e-74,4.16298e-95,3.17721e-71,3.32134e-68,1.25998e-103,1.86713e-112,1.59783e-174,503.723
8.52193e-14,2.73701,1.52316e-26,3.07564e-26,6.67157e-30,3.17248e-35,7.83439e-30,1.52559e-33,3.80404e-37,1.94773e-68,502.075
0.11199,2.27442,0.0188163,0.107655,0.695427,0.015708,4.17739,0.350999,0.470263,0.00217646,756.969
2.51112e-17,2.73701,2.83877e-29,2.00161e-29,1.68469e-32,9.90108e-39,7.8149e-35,3.3826e-36,2.0481e-39,1.33034e-74,503.207
1.92741e-31,2.73701,1.48536e-42,1.48666e-53,2.5771e-59,6.73556e-53,1.10717e-49,5.22098e-65,1.61094e-70,1.40877e-117,502.4
4.70063e-31,2.73701,1.42614e-42,6.15752e-53,1.20366e-58,1.51321e-52,2.98609e-49,2.63508e-64,8.77903e-70,1.6309e-116,498.567
2.04843e-15,2.73701,1.507e-25,1.18153e-25,3.69129e-28,8.75763e-37,2.86182e-30,2.03222e-31,4.08949e-34,7.14235e-68,504.268
0.000135575,2.73701,2.27135e-08,5.84389e-08,3.67542e-08,1.75774e-13,2.64868e-07,3.2585e-09,3.80124e-10,2.33587e-22,500.808
0.114697,1.60249,0.829145,0.662051,1.64855,0.205389,1.43945,0.7061,1.37603,0.0602207,1121.44
5.37471e-06,2.73701,1.20673e-10,2.34406e-10,5.47401e-11,6.61682e-17,1.45557e-10,1.58797e-12,2.6516e-13,4.18138e-29,501.195
